,0
0,Alaska
1,Colorado
2,Connecticut
3,Hawaii
4,Illinois
5,Indiana
6,Kentucky
7,Maryland
8,Massachusetts
9,Minnesota
10,Mississippi
11,Missouri
12,New Hampshire
13,Oklahoma
14,Oregon
15,Pennsylvania
16,Wisconsin
17,Wyoming
